group_id,gene_id,POC-201-TP1,POC-201-TP2,POC-201-TP3,POC-219-TP1,POC-219-TP2,POC-219-TP3,POC-219-TP4,POC-222-TP1,POC-222-TP2,POC-222-TP3,POC-222-TP4,POC-255-TP1,POC-255-TP2,POC-255-TP3,POC-255-TP4,POC-259-TP1,POC-259-TP2,POC-259-TP3,POC-259-TP4,POC-40-TP1,POC-40-TP2,POC-40-TP3,POC-40-TP4,POC-42-TP1,POC-42-TP2,POC-42-TP3,POC-42-TP4,POC-52-TP1,POC-52-TP2,POC-52-TP3,POC-52-TP4,POC-53-TP1,POC-53-TP2,POC-53-TP3,POC-53-TP4,POC-57-TP1,POC-57-TP2,POC-57-TP3,POC-57-TP4
OG_15459,Pocillopora_meandrina_HIv1___TS.g10820.t1,2398,633,246,714,572,177,935,736,1086,1080,1159,69,991,193,1099,1099,1476,473,932,1745,376,5329,689,2148,531,1033,64,139,314,762,1551,1295,656,1501,186,1746,1261,1885,1273
OG_09638,Pocillopora_meandrina_HIv1___RNAseq.g15818.t1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,4,13,4,0,0,7,0,0,0,0,12,0,0,0,8,10,0,0
OG_15462,Pocillopora_meandrina_HIv1___RNAseq.g15815.t1,84,58,13,97,47,9,31,176,20,130,69,22,23,47,65,79,98,54,80,14,6,56,5,13,23,9,14,0,21,40,94,67,41,74,5,54,16,127,27
OG_09596,Pocillopora_meandrina_HIv1___RNAseq.g15788.t1,106963,21050,11872,63026,51171,11055,44090,45028,50426,53487,66237,11238,41760,22412,81750,34408,23286,50245,73328,77116,60929,87917,41294,64083,47016,40244,2774,10590,33621,42165,59971,67939,67662,50944,49183,81731,30091,106421,89698
OG_09597,Pocillopora_meandrina_HIv1___RNAseq.g15789.t1,15956,2251,817,3019,4818,706,3042,9898,6328,4142,5598,3322,5969,726,5750,2909,2838,3831,5041,9718,7198,9942,5020,8342,5931,4385,42,1103,3223,5278,5660,9315,9353,3156,2669,15748,2879,8674,7071
OG_09598,Pocillopora_meandrina_HIv1___RNAseq.g15790.t1,21187,4587,2307,6094,7536,2313,5902,6872,6089,7471,8303,935,5299,1508,11591,6549,5433,6551,13507,5788,6080,13946,2847,11163,12264,6121,350,4184,5241,7469,8889,6337,9611,5742,3792,13299,4957,14528,8811
OG_09511,Pocillopora_meandrina_HIv1___RNAseq.g15976.t1,979,693,107,415,420,64,187,1133,492,1096,279,711,516,89,605,556,729,374,668,538,409,821,464,570,485,427,43,69,244,520,1067,662,496,854,184,736,175,1087,462
OG_14685,Pocillopora_meandrina_HIv1___RNAseq.g16038.t1,286,309,126,419,268,76,308,256,147,433,239,195,404,676,828,248,413,565,590,342,268,474,354,140,141,221,136,86,269,407,467,277,207,328,261,408,184,540,284
OG_14889,Pocillopora_meandrina_HIv1___RNAseq.g16088.t1,3,13,0,0,17,0,0,2,15,0,0,2,0,0,0,7,0,0,5,0,0,0,0,12,21,0,0,0,7,0,0,13,0,0,4,0,22,0,0
OG_09424,Pocillopora_meandrina_HIv1___RNAseq.g16095.t1,943,984,116,534,323,57,249,1893,554,1845,387,848,428,222,741,642,1181,296,890,769,760,1030,1016,1091,1177,718,129,37,641,704,1303,684,658,1197,304,788,273,1280,999
OG_09423,Pocillopora_meandrina_HIv1___RNAseq.g16096.t1,1396,1099,372,1210,970,258,1014,1325,1334,1242,1091,1032,1103,669,1401,627,1237,1146,1180,1212,1572,964,1301,1330,2250,1265,731,175,2315,1024,1123,693,1192,876,1565,1430,708,936,1666
OG_06279,Pocillopora_meandrina_HIv1___RNAseq.g16195.t1,9426,1598,732,1754,4155,448,3658,1119,4607,1900,9394,1142,6508,1775,8144,924,1375,3774,3957,3187,6113,8291,2228,4812,4992,4082,283,272,6555,4746,6091,12061,10907,4571,2364,17225,5294,25633,9868
OG_18058,Pocillopora_meandrina_HIv1___TS.g11409.t1,561,403,67,256,266,12,299,10,0,0,0,589,337,41,330,408,729,206,397,1189,919,378,369,435,198,224,72,30,469,310,351,330,267,244,124,364,173,255,365
OG_06234,Pocillopora_meandrina_HIv1___RNAseq.g16542.t1,575,400,135,943,275,260,279,170,237,761,389,145,295,187,467,643,1662,503,753,229,173,2221,205,344,196,119,87,35,176,324,729,410,227,715,85,275,198,905,456
OG_06236,Pocillopora_meandrina_HIv1___TS.g11527.t1,221,474,34,176,90,0,10,123,32,217,140,53,203,85,176,173,212,159,196,46,38,149,68,95,82,48,0,0,59,67,175,147,37,158,17,146,70,395,18
OG_15759,Pocillopora_meandrina_HIv1___RNAseq.7251_t,26592,36941,16211,31400,40088,12508,12880,4846,15548,46340,14374,5680,20521,16277,25062,29817,26190,35229,40604,25055,28994,19024,11789,17896,20419,13444,2401,5927,21840,38941,24436,23647,30412,19182,13968,22163,13163,32801,9271
OG_15070,Pocillopora_meandrina_HIv1___RNAseq.g24098.t1,16,16,9,13,9,4,10,54,125,328,232,17,9,38,57,10,16,45,30,73,58,87,89,30,22,32,63,0,3,47,13,24,32,74,112,174,32,87,77
OG_06181,Pocillopora_meandrina_HIv1___TS.g11574.t1,5053,4295,3503,3344,3620,1819,1852,5081,6775,10975,2298,7082,4087,956,4077,4281,5382,2726,5609,4427,7517,5675,5892,2647,5599,4727,365,868,5651,7710,7795,6846,6755,5909,2802,5107,1577,5985,3126
OG_17483,Pocillopora_meandrina_HIv1___RNAseq.g16566.t1,1240,1809,399,1992,1494,229,1150,1082,587,2222,883,528,1585,836,2160,1835,2729,1433,2358,428,272,747,306,443,429,504,166,62,1036,1434,2292,1276,647,1684,415,1097,370,2103,1478
OG_07183,Pocillopora_meandrina_HIv1___RNAseq.g24113.t1,1627,897,139,1185,1072,118,534,939,657,2230,1195,270,1140,615,2025,1485,1545,875,1450,729,374,1551,472,724,212,478,70,0,366,1120,1707,1159,600,1157,180,1625,510,2409,878
OG_07150,Pocillopora_meandrina_HIv1___TS.g12263.t1,440,155,103,116,91,76,175,857,728,220,147,1760,444,303,287,88,100,347,155,420,602,223,816,150,694,729,819,0,749,298,242,290,362,304,614,136,247,151,593
OG_14804,Pocillopora_meandrina_HIv1___RNAseq.g24442.t1,17,23,4,33,26,0,21,71,44,9,12,152,20,0,6,32,31,24,21,103,86,33,77,0,0,0,0,0,21,4,7,0,8,0,8,27,84,30,9
OG_15086,Pocillopora_meandrina_HIv1___RNAseq.g24466.t1,100,113,15,135,104,3,65,278,204,295,70,230,106,113,329,240,170,80,259,290,141,290,154,60,152,114,94,0,192,184,111,129,116,202,42,163,209,147,122
OG_07252,Pocillopora_meandrina_HIv1___TS.g12407.t1,101,167,9,114,67,0,29,236,237,187,45,195,47,101,268,142,139,146,201,307,138,272,111,55,168,105,66,0,166,204,152,104,90,145,26,75,125,120,92
OG_16586,Pocillopora_meandrina_HIv1___RNAseq.g24469.t1,50,60,0,14,8,0,4,107,80,84,21,32,10,0,76,33,58,14,43,106,90,152,40,18,65,40,2,0,64,70,55,49,94,81,0,45,16,29,14
OG_16585,Pocillopora_meandrina_HIv1___RNAseq.g24468.t1,42,58,0,34,10,0,28,129,179,87,39,68,44,0,66,46,22,26,39,119,66,93,57,30,30,24,5,5,37,42,48,30,39,60,2,12,42,59,39
OG_15087,Pocillopora_meandrina_HIv1___RNAseq.g24463.t1,0,10,0,0,7,0,0,16,0,21,12,13,4,3,15,5,7,0,15,10,11,7,9,0,14,2,0,0,5,4,0,11,5,0,0,13,12,0,0
OG_17124,Pocillopora_meandrina_HIv1___RNAseq.g24462.t1,320,362,187,561,378,32,190,148,144,341,160,82,478,370,554,405,319,435,388,92,207,327,94,113,227,184,95,47,437,411,651,199,79,168,73,231,154,425,27
OG_16944,Pocillopora_meandrina_HIv1___RNAseq.g24673.t1,26,52,2,45,21,7,49,28,75,14,13,458,198,23,114,134,300,48,103,116,133,182,95,209,287,266,0,0,64,11,27,50,88,110,13,0,5,0,30
OG_17045,Pocillopora_meandrina_HIv1___RNAseq.g24668.t1,103,200,50,368,299,38,50,35,29,350,60,7,131,61,261,466,773,96,214,187,154,502,153,22,44,18,27,0,21,25,22,339,180,433,80,102,62,227,117
OG_14942,Pocillopora_meandrina_HIv1___TS.g12627.t1,39,385,33,284,265,45,70,454,37,167,16,239,89,8,63,156,188,0,66,220,51,135,128,27,59,70,7,0,86,163,155,298,269,376,65,153,42,368,52
OG_07153,Pocillopora_meandrina_HIv1___RNAseq.g24734.t1,145,98,17,93,47,20,24,365,218,116,65,223,92,14,151,142,166,43,92,383,107,253,106,37,184,44,36,0,127,201,106,136,201,153,34,137,152,72,45
OG_15060,Pocillopora_meandrina_HIv1___RNAseq.g24736.t1a,23,10,0,22,0,0,0,41,40,48,0,20,0,0,20,20,9,8,10,16,9,19,0,5,8,16,0,0,0,51,33,17,20,27,9,22,20,0,0
OG_07042,Pocillopora_meandrina_HIv1___TS.g12785.t1,462,596,124,402,322,138,175,452,369,889,311,150,280,176,420,566,673,316,792,408,300,464,244,390,453,303,55,154,355,519,740,514,471,716,177,555,204,551,265
OG_14189,Pocillopora_meandrina_HIv1___RNAseq.g25127.t1,0,0,0,0,0,0,0,6,13,5,3,0,0,0,4,0,2,2,4,7,0,16,8,9,0,2,9,0,2,0,6,7,1,2,1,5,8,4,0
OG_07265,Pocillopora_meandrina_HIv1___RNAseq.g25129.t1,0,0,0,30,4,0,0,6,20,22,0,0,3,0,4,10,13,0,27,0,1,3,0,0,0,0,4,0,0,0,0,9,10,69,0,0,0,0,3
OG_02439,Pocillopora_meandrina_HIv1___RNAseq.g25133.t1,1145,3413,462,2394,2603,63,779,446,769,1443,456,720,2718,501,3296,432,155,1279,1560,450,715,108,434,146,142,346,132,0,1640,1333,6817,1264,9087,1042,520,760,464,1720,562
OG_03330,Pocillopora_meandrina_HIv1___TS.g15837.t1,1134,1101,217,1124,777,81,256,3376,1544,1624,1174,1570,849,196,1136,805,1193,687,1367,826,1168,1162,1704,526,930,515,327,22,624,864,1326,1009,788,1025,451,962,335,1189,414
OG_03270,Pocillopora_meandrina_HIv1___RNAseq.g23012.t1,1105,586,285,1289,376,90,779,656,759,2651,969,419,184,1123,1145,475,537,733,796,274,755,658,671,204,320,347,333,0,337,417,547,675,263,510,727,290,147,235,538
OG_03269,Pocillopora_meandrina_HIv1___TS.g15900.t1,363,1162,483,1410,213,58,1249,1686,821,606,106,1230,2690,234,1508,793,1224,2003,7053,1027,1962,1533,1356,364,3017,1323,2898,0,3363,791,1168,4145,2643,3557,1080,531,1592,882,2217
OG_03268,Pocillopora_meandrina_HIv1___RNAseq.g23023.t1,21,38,25,29,0,31,99,42,14,25,15,34,36,16,8,13,44,47,45,25,69,60,26,8,30,14,62,21,44,60,24,65,72,70,24,12,16,30,127
OG_03267,Pocillopora_meandrina_HIv1___TS.g15910.t1,99,112,45,225,168,28,75,193,153,359,73,139,146,86,164,148,150,85,228,26,41,61,71,39,69,39,31,19,107,203,470,200,97,252,75,62,43,128,61
OG_16485,Pocillopora_meandrina_HIv1___RNAseq.g23026.t1,12,72,3,53,11,0,15,56,44,28,0,98,106,0,81,12,30,4,137,52,121,22,95,9,39,0,15,0,82,14,19,39,47,16,5,9,48,11,18
OG_16139,Pocillopora_meandrina_HIv1___TS.g15931.t1,5,0,0,0,0,4,0,4,6,0,0,0,0,0,0,0,0,7,0,6,3,7,0,0,0,0,5,0,6,5,0,0,19,0,0,5,0,0,0
OG_05717,Pocillopora_meandrina_HIv1___RNAseq.g23132.t1,0,0,0,0,5,0,0,0,3,0,23,0,0,0,0,0,0,0,9,0,0,6,0,0,9,0,0,0,2,4,6,7,0,6,0,0,0,3,0
OG_17591,Pocillopora_meandrina_HIv1___RNAseq.g23133.t1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
OG_05718,Pocillopora_meandrina_HIv1___RNAseq.g23128.t1,2514,1206,144,428,660,24,638,1777,3531,1274,1218,2252,1550,127,1000,497,844,574,985,3325,4521,1479,3967,3124,5519,4166,196,43,2890,783,888,2673,4698,1876,1595,2325,953,1273,4523
OG_05713,Pocillopora_meandrina_HIv1___RNAseq.g23146.t1,559,361,134,474,276,42,323,539,370,707,449,606,482,226,730,383,432,353,680,296,415,630,292,202,288,249,139,25,454,456,824,547,348,766,305,577,366,987,581
OG_14276,Pocillopora_meandrina_HIv1___RNAseq.g23354.t1,1628,853,154,656,1534,237,560,1381,1368,1263,641,852,1894,276,1537,726,779,382,1224,945,919,1620,841,965,752,898,82,207,838,1524,1728,1670,2216,1047,362,1086,348,1641,908
OG_17286,Pocillopora_meandrina_HIv1___TS.g16293.t1,10,14,0,0,9,0,0,0,13,8,0,0,0,0,0,0,0,22,7,0,0,9,25,12,0,0,8,0,0,0,0,10,6,4,0,13,20,0,0
OG_10267,Pocillopora_meandrina_HIv1___RNAseq.g23527.t1,14015,6390,4919,17209,10730,5608,22071,10527,12415,16621,17209,12775,12040,14077,24060,6841,8037,15030,13560,6048,9210,11582,9141,8101,9483,14203,9542,2096,14935,11965,20144,9696,8916,10964,17315,7513,4346,12959,24772
OG_17646,Pocillopora_meandrina_HIv1___RNAseq.g23591.t1,3513,2227,2026,4155,3370,1527,2690,758,1436,7287,2924,440,2679,3137,5753,552,831,558,1008,686,982,1644,569,1194,740,1202,522,718,1265,3018,3302,2645,2558,2954,2540,2367,1149,4048,1690
OG_17666,Pocillopora_meandrina_HIv1___RNAseq.g23619.t1,2163,1204,727,1636,857,232,1887,5508,4010,570,802,10558,961,544,1033,727,593,2053,1247,4658,6543,494,10043,4570,8415,7683,6153,53,8051,762,947,961,4414,656,6619,1810,2489,307,15203
OG_14279,Pocillopora_meandrina_HIv1___TS.g16540.t1,17,29,0,6,22,0,12,35,28,82,20,48,0,0,22,74,17,17,55,40,57,94,98,93,50,60,119,0,23,36,35,61,39,22,15,52,81,12,13
OG_17027,Pocillopora_meandrina_HIv1___RNAseq.g23669.t1,4,5,7,28,25,11,2,4,17,24,9,18,0,2,0,17,21,32,31,75,0,46,90,31,0,16,110,0,17,19,7,69,26,18,10,30,32,6,0
OG_10265,Pocillopora_meandrina_HIv1___RNAseq.g23802.t1,1388,1954,224,1620,1304,76,471,1982,666,2640,631,1600,1144,539,1542,2346,2391,824,1678,590,459,1341,704,718,755,571,107,44,606,1615,2366,1831,685,2144,314,1029,567,2237,781
OG_16592,Pocillopora_meandrina_HIv1___RNAseq.g23895.t1,61937,18484,19279,45274,26473,16052,69452,144376,87122,39418,73622,182419,52689,28188,66868,19178,20683,42811,39006,106514,169885,44459,214868,96307,124082,129493,103034,13481,118053,52087,51523,55731,92630,42377,178504,94939,53988,49824,122616
OG_02967,Pocillopora_meandrina_HIv1___RNAseq.g23920.t1,2923,2447,2116,8173,7580,1532,1892,2591,1893,13895,3170,3012,12052,6671,8397,1890,2341,5591,1336,3972,2505,4097,2204,956,1031,1766,1605,479,1511,3415,4662,4188,4037,7337,5053,4290,1437,6278,1661
OG_14262,Pocillopora_meandrina_HIv1___RNAseq.g23923.t1,159,333,174,1167,943,174,204,842,736,3575,136,952,2533,709,1723,867,983,539,752,895,800,370,940,416,840,1533,503,99,689,709,1273,589,1006,965,1186,748,254,606,231
OG_02924,Pocillopora_meandrina_HIv1___RNAseq.g24033.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,24,12,0,0,11,23,0,0,0,2,7,0,5,0,24,0,0,0
OG_14257,Pocillopora_meandrina_HIv1___RNAseq.g24031.t1,195,267,91,242,132,63,125,257,668,508,148,1091,377,59,167,179,73,152,240,374,1261,105,879,203,897,395,337,9,1116,361,212,235,615,160,844,245,160,103,144
OG_02935,Pocillopora_meandrina_HIv1___RNAseq.g24061.t1,800,57,12,91,214,40,287,398,475,63,203,232,148,9,252,63,54,173,147,502,311,342,334,562,560,524,34,31,156,169,200,242,370,145,157,486,269,167,620
OG_16789,Pocillopora_meandrina_HIv1___RNAseq.g24081.t1,1652,2176,267,1112,908,33,535,519,861,2022,1021,355,1275,595,1370,1181,2669,647,1080,1041,909,1958,432,775,586,445,60,110,573,822,1453,2048,1635,1557,309,1937,813,2468,719
OG_10251,Pocillopora_meandrina_HIv1___RNAseq.g26720.t1,3,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,4,0,0,11,0,6,8,4,5,0,0,0,0,0,0,0,4,0,0,0,0,0,14
OG_15644,Pocillopora_meandrina_HIv1___RNAseq.g26893.t1,9,25,0,5,6,0,0,41,22,7,0,25,18,0,29,21,12,0,15,57,13,13,15,0,0,11,0,0,13,37,15,8,15,9,7,5,9,6,17
OG_07958,Pocillopora_meandrina_HIv1___TS.g14356.t2,1038,801,124,617,626,45,354,1605,1357,1715,686,1344,764,390,1109,560,882,434,985,1053,1388,1179,1438,957,1438,1312,92,74,1331,868,1623,655,919,894,665,901,491,1305,1211
OG_15738,Pocillopora_meandrina_HIv1___RNAseq.g27067.t1,276,461,150,269,221,93,390,270,477,445,213,192,325,365,209,158,507,501,344,150,270,343,332,202,234,190,351,36,419,378,300,121,198,423,594,299,133,322,493
OG_08192,Pocillopora_meandrina_HIv1___TS.g14605.t2,91,94,10,81,50,0,81,200,9,130,30,105,51,10,94,100,79,71,90,35,42,64,55,10,80,37,0,0,79,84,92,70,33,95,17,24,30,91,55
OG_17006,Pocillopora_meandrina_HIv1___RNAseq.g27374.t1,5314,73,219,330,1880,181,1909,1654,3032,418,2784,3566,4366,1764,4031,73,66,668,543,1964,1962,3242,1846,777,1587,3043,2206,36,1431,1276,1519,4742,1378,772,2117,2242,1874,2205,4170
OG_08271,Pocillopora_meandrina_HIv1___RNAseq.g27377.t1,3600,1358,314,1192,1079,162,1538,940,2155,2644,1473,1498,2198,290,2022,1127,1439,963,2060,2838,2108,1442,1673,1499,1759,1959,276,273,2678,1582,2566,1669,1787,1162,1031,2186,1145,2210,3101
OG_16092,Pocillopora_meandrina_HIv1___RNAseq.g27464.t1,19,8,2,0,0,0,7,8,0,0,0,35,0,0,0,6,15,0,0,37,29,30,15,34,12,15,9,0,24,17,13,19,53,4,0,41,0,30,0
OG_08259,Pocillopora_meandrina_HIv1___RNAseq.g27504.t1,489,164,27,151,160,10,122,444,177,443,147,166,187,35,195,148,423,134,220,386,170,639,283,434,237,272,15,0,201,276,416,308,302,288,39,278,173,444,218
OG_17849,Pocillopora_meandrina_HIv1___TS.g14930.t1,61,109,16,43,10,0,0,40,25,60,34,16,12,0,58,69,159,21,83,0,12,36,19,15,25,0,0,0,41,34,310,49,51,147,6,75,28,203,61
OG_07822,Pocillopora_meandrina_HIv1___RNAseq.g27709.t1,90,79,17,218,67,21,58,121,55,210,37,25,68,79,137,64,81,85,134,30,30,113,33,23,29,35,6,2,23,64,105,85,17,102,8,97,15,112,14
OG_07821,Pocillopora_meandrina_HIv1___RNAseq.g27710.t1,108,60,0,41,12,18,19,80,10,70,41,19,25,22,30,35,49,35,44,59,38,139,44,55,19,64,0,0,8,6,90,41,37,78,0,30,14,85,113
OG_07807,Pocillopora_meandrina_HIv1___RNAseq.g27741.t1,1349,370,89,756,465,29,595,403,555,409,801,283,525,407,557,252,493,648,317,416,991,549,891,546,741,720,312,12,840,511,1338,1085,591,996,657,738,238,759,1082
OG_17098,Pocillopora_meandrina_HIv1___RNAseq.g27761.t1a,37,155,40,116,51,12,120,104,51,30,13,101,210,11,137,30,102,58,157,100,264,119,130,27,238,90,203,0,511,94,116,210,151,248,73,25,55,12,86
OG_07836,Pocillopora_meandrina_HIv1___RNAseq.g27915.t1,1303,263,110,468,232,111,555,492,234,1876,266,293,401,257,557,559,737,507,787,103,256,883,137,219,225,255,26,48,1051,764,3032,501,42,1353,111,693,239,1790,927
OG_07892,Pocillopora_meandrina_HIv1___RNAseq.g27865.t1,470,490,103,423,391,67,177,1059,404,864,143,722,353,144,402,454,656,256,539,382,247,432,551,446,688,541,142,13,285,322,809,510,314,559,133,397,169,748,383
OG_06754,Pocillopora_meandrina_HIv1___RNAseq.g5072.t1,1601,629,230,403,342,99,224,1118,378,1357,229,650,654,253,432,683,1381,325,647,436,345,1131,507,306,400,359,18,139,341,762,1490,923,615,1220,101,563,151,1131,269
OG_06719,Pocillopora_meandrina_HIv1___RNAseq.g5082.t1,3746,425,190,500,354,79,414,2028,947,1025,1227,709,357,174,575,456,546,888,821,1754,1201,1384,749,1288,1048,897,10,257,757,831,766,971,1230,582,574,2339,450,1154,2426
OG_06717,Pocillopora_meandrina_HIv1___RNAseq.g5084.t2,447,742,153,527,429,76,106,1423,310,1286,108,716,321,98,293,787,818,133,510,344,497,322,482,431,857,229,28,0,536,537,829,508,426,619,101,277,104,772,261
OG_06712,Pocillopora_meandrina_HIv1___TS.g23876.t1,888,491,910,841,305,464,946,492,237,598,637,124,444,1132,363,557,844,513,430,393,268,996,300,427,317,301,142,1831,175,381,594,767,372,764,216,709,270,787,427
OG_06711,Pocillopora_meandrina_HIv1___TS.g23878.t1,275,198,86,222,204,3,220,145,103,170,149,67,304,115,233,215,304,199,252,105,120,370,65,211,99,72,77,3,50,113,269,215,249,215,82,193,146,335,115
OG_07000,Pocillopora_meandrina_HIv1___RNAseq.g5328.t1,3386,90,375,628,413,121,1491,301,1242,568,1262,2345,1994,557,2206,497,426,1099,710,2306,2684,2461,3762,402,1754,2642,2918,46,2230,969,1501,1161,1394,1182,3325,1888,1099,2090,7521
OG_06999,Pocillopora_meandrina_HIv1___RNAseq.g5341.t1,7,3,3,3,0,0,3,0,38,10,0,9,0,0,9,14,0,4,20,43,7,13,34,49,35,7,33,0,14,2,5,15,9,7,12,6,28,0,25
OG_16158,Pocillopora_meandrina_HIv1___RNAseq.g5340.t1,217,32,33,75,12,10,17,75,88,137,70,66,142,47,66,119,126,88,84,80,48,258,92,54,55,80,140,27,40,103,136,112,5,211,48,40,76,166,78
OG_16159,Pocillopora_meandrina_HIv1___RNAseq.11571_t,20714,267,793,1330,1883,216,6272,477,3600,618,5780,7050,4734,1714,6274,663,333,2083,1264,3416,8200,5210,7879,3085,6032,8098,10242,68,12498,2774,7118,6939,3968,3225,9734,3034,1778,3990,22660
OG_06998,Pocillopora_meandrina_HIv1___RNAseq.g5342.t1,2009,389,136,539,411,84,2097,354,3998,523,1444,1378,1605,271,1408,499,353,1247,1084,4050,6681,934,3261,3483,3988,2479,1133,106,9822,795,1157,1427,4437,1281,6056,3449,1522,992,23422
OG_02090,Pocillopora_meandrina_HIv1___TS.g24166.t1,669,1419,103,847,1055,110,415,833,1456,262,192,1864,1871,111,919,1888,1822,422,1507,523,1115,755,494,379,1364,373,169,335,1773,1107,1385,425,639,161,183,566,581,365,224
OG_15020,Pocillopora_meandrina_HIv1___TS.g24321.t1,25,7,26,3,17,0,7,12,22,22,22,7,32,23,13,15,29,5,17,22,20,44,12,15,37,13,0,0,4,8,33,15,57,25,0,53,10,40,20
OG_15021,Pocillopora_meandrina_HIv1___RNAseq.g5601.t1,64,5,6,25,24,0,5,12,18,35,53,6,38,11,15,28,52,12,35,9,54,97,23,43,22,30,0,0,21,32,52,13,17,39,10,57,33,67,49
OG_14547,Pocillopora_meandrina_HIv1___RNAseq.g5671.t1,625,635,339,222,285,92,70,300,164,330,245,149,355,200,460,764,755,610,543,254,328,555,165,375,459,404,38,130,480,533,1097,1688,1742,1850,319,440,337,703,527
OG_18223,Pocillopora_meandrina_HIv1___RNAseq.g5674.t1c,729,723,722,939,718,434,1045,660,439,1077,917,451,632,1247,1159,618,591,1645,1035,668,564,797,757,693,604,716,517,194,508,524,742,692,482,605,817,600,463,939,815
OG_06775,Pocillopora_meandrina_HIv1___TS.g24411.t1,746,454,51,309,248,35,133,404,261,491,206,227,275,145,329,426,655,193,506,323,393,584,280,212,377,274,40,25,262,401,703,454,504,571,49,329,81,703,402
OG_06931,Pocillopora_meandrina_HIv1___RNAseq.g5694.t1,1365,962,139,382,564,65,154,2254,1131,982,295,2471,889,172,528,675,1050,288,749,486,668,1139,1306,655,1068,1366,147,44,985,909,1120,1391,1096,1861,347,1369,392,1957,1101
OG_15009,Pocillopora_meandrina_HIv1___RNAseq.g5761.t1,414,232,30,235,43,0,131,248,115,408,261,97,146,117,322,259,292,98,378,185,115,603,166,142,150,86,126,0,104,234,256,134,126,319,60,132,140,242,145
OG_02088,Pocillopora_meandrina_HIv1___RNAseq.g5785.t1,6919,10044,3985,13521,7336,1989,8148,12988,13674,31314,8214,10410,18989,12280,21499,7126,9517,9989,14695,2437,6083,3421,5708,3441,9531,7761,18176,315,10471,9043,16004,7829,5127,10919,10773,6231,3787,5265,7822
OG_17100,Pocillopora_meandrina_HIv1___TS.g24518.t1,25,0,0,2,0,0,5,4,0,0,0,0,7,0,0,0,0,0,0,20,0,24,0,9,0,0,0,0,4,0,0,5,5,0,0,0,14,0,11
OG_14100,Pocillopora_meandrina_HIv1___TS.g24548.t1,140,47,3,44,71,0,135,65,65,36,43,72,88,25,80,38,46,64,71,129,66,172,114,215,158,118,56,0,51,74,71,40,72,24,47,128,45,85,245
OG_17596,Pocillopora_meandrina_HIv1___RNAseq.g5855.t1,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,5,10,0,4,11,8,0,0,0,0,0,12,0,0,9,0,0,0,0,0,0,0
OG_16289,Pocillopora_meandrina_HIv1___TS.g24607.t1,39,8,5,70,23,0,83,55,41,37,28,0,13,5,38,36,65,23,35,38,17,35,22,38,43,10,7,0,54,11,41,30,22,34,17,60,18,41,43
OG_02163,Pocillopora_meandrina_HIv1___RNAseq.g5887.t1,903,384,118,500,527,108,242,683,451,441,210,428,475,129,360,496,330,226,361,305,190,501,322,343,248,276,197,73,293,395,504,611,357,474,151,435,232,588,212
OG_14915,Pocillopora_meandrina_HIv1___RNAseq.g5928.t1a,333,235,162,521,189,261,471,1805,413,189,323,7292,432,102,528,99,150,403,305,428,962,196,3597,117,624,635,1216,64,452,261,219,118,318,137,1357,553,329,202,803
OG_06955,Pocillopora_meandrina_HIv1___RNAseq.g6016.t1,710,644,122,517,361,41,167,817,321,1004,250,505,659,206,496,691,861,236,496,396,355,807,362,455,257,316,129,112,333,446,704,898,534,880,76,347,135,957,340
OG_06954,Pocillopora_meandrina_HIv1___RNAseq.g6018.t1,75,108,32,62,40,0,65,316,70,198,53,89,29,7,48,43,68,55,59,76,38,42,72,124,188,107,77,0,62,24,56,131,100,119,22,64,50,131,121
OG_17497,Pocillopora_meandrina_HIv1___RNAseq.g6049.t1,76,219,80,186,144,24,109,93,97,280,136,65,236,47,184,146,354,115,217,242,175,191,155,49,85,95,18,0,41,82,116,213,164,135,30,193,87,153,58
OG_06875,Pocillopora_meandrina_HIv1___TS.g24761.t1,331,101,44,116,197,8,254,192,149,164,209,95,203,67,237,218,310,134,272,267,262,502,163,209,145,192,16,11,302,297,329,385,409,316,121,289,198,483,348
OG_06670,Pocillopora_meandrina_HIv1___RNAseq.g6195.t1,1567,1476,304,1325,777,250,882,1384,765,2708,854,1089,1120,888,2071,1082,1501,1163,1920,384,585,1068,481,403,583,592,186,94,818,1019,2653,1532,873,2593,788,1060,380,2123,1688
OG_15796,Pocillopora_meandrina_HIv1___TS.g4194.t1a,11,3,42,0,6,0,0,0,4,0,0,59,0,0,2,0,0,0,0,0,0,0,17,11,0,7,13,0,13,0,0,0,0,0,0,0,0,0,0
OG_00176,Pocillopora_meandrina_HIv1___RNAseq.g1836.t1,0,48,0,24,9,13,17,31,22,23,31,8,53,14,22,17,16,65,20,91,36,92,15,15,0,23,38,0,38,50,14,36,28,45,14,10,5,0,17
OG_00171,Pocillopora_meandrina_HIv1___RNAseq.g1863.t1,652,536,146,398,310,112,181,893,513,1010,314,697,319,106,368,469,644,393,658,489,496,537,565,559,768,496,40,64,431,477,838,425,387,529,274,750,190,963,521
